Mod:Item:MetaData, Localized Name
gregtech:gt.blockores:18871, Small Malachite Ore
gregtech:gt.blockores:19871, Small Malachite Ore
gregtech:gt.blockores:20871, Small Malachite Ore
gregtech:gt.blockores:21871, Small Malachite Ore
gregtech:gt.blockores:22871, Small Malachite Ore
gregtech:gt.blockores:873, Pitchblende
gregtech:gt.blockores:1873, Pitchblende
gregtech:gt.blockores:2873, Pitchblende
gregtech:gt.blockores:3873, Pitchblende
gregtech:gt.blockores:4873, Pitchblende
gregtech:gt.blockores:5873, Pitchblende
gregtech:gt.blockores:6873, Pitchblende
gregtech:gt.blockores:16873, Small Pitchblende
gregtech:gt.blockores:17873, Small Pitchblende
gregtech:gt.blockores:18873, Small Pitchblende
gregtech:gt.blockores:19873, Small Pitchblende
gregtech:gt.blockores:20873, Small Pitchblende
gregtech:gt.blockores:21873, Small Pitchblende
gregtech:gt.blockores:22873, Small Pitchblende
gregtech:gt.blockores:877, Soapstone Ore
gregtech:gt.blockores:1877, Soapstone Ore
gregtech:gt.blockores:2877, Soapstone Ore
gregtech:gt.blockores:3877, Soapstone Ore
gregtech:gt.blockores:4877, Soapstone Ore
gregtech:gt.blockores:5877, Soapstone Ore
gregtech:gt.blockores:6877, Soapstone Ore
gregtech:gt.blockores:16877, Small Soapstone Ore
gregtech:gt.blockores:17877, Small Soapstone Ore
gregtech:gt.blockores:18877, Small Soapstone Ore
gregtech:gt.blockores:19877, Small Soapstone Ore
gregtech:gt.blockores:20877, Small Soapstone Ore
gregtech:gt.blockores:21877, Small Soapstone Ore
gregtech:gt.blockores:22877, Small Soapstone Ore
gregtech:gt.blockores:878, Oilsands Ore
gregtech:gt.blockores:1878, Oilsands Ore
gregtech:gt.blockores:2878, Oilsands Ore
gregtech:gt.blockores:3878, Oilsands Ore
gregtech:gt.blockores:4878, Oilsands Ore
gregtech:gt.blockores:5878, Oilsands Ore
gregtech:gt.blockores:6878, Oilsands Ore
gregtech:gt.blockores:16878, Small Oilsands Ore
gregtech:gt.blockores:17878, Small Oilsands Ore
gregtech:gt.blockores:18878, Small Oilsands Ore
gregtech:gt.blockores:19878, Small Oilsands Ore
gregtech:gt.blockores:20878, Small Oilsands Ore
gregtech:gt.blockores:21878, Small Oilsands Ore
gregtech:gt.blockores:22878, Small Oilsands Ore
gregtech:gt.blockores:882, Wulfenite Ore
gregtech:gt.blockores:1882, Wulfenite Ore
gregtech:gt.blockores:2882, Wulfenite Ore
gregtech:gt.blockores:3882, Wulfenite Ore
gregtech:gt.blockores:4882, Wulfenite Ore
gregtech:gt.blockores:5882, Wulfenite Ore
gregtech:gt.blockores:6882, Wulfenite Ore
gregtech:gt.blockores:16882, Small Wulfenite Ore
gregtech:gt.blockores:17882, Small Wulfenite Ore
gregtech:gt.blockores:18882, Small Wulfenite Ore
gregtech:gt.blockores:19882, Small Wulfenite Ore
gregtech:gt.blockores:20882, Small Wulfenite Ore
gregtech:gt.blockores:21882, Small Wulfenite Ore
gregtech:gt.blockores:22882, Small Wulfenite Ore
gregtech:gt.blockores:883, Powellite Ore
gregtech:gt.blockores:1883, Powellite Ore
gregtech:gt.blockores:2883, Powellite Ore
gregtech:gt.blockores:3883, Powellite Ore
gregtech:gt.blockores:4883, Powellite Ore
gregtech:gt.blockores:5883, Powellite Ore
gregtech:gt.blockores:6883, Powellite Ore
gregtech:gt.blockores:16883, Small Powellite Ore
gregtech:gt.blockores:17883, Small Powellite Ore
gregtech:gt.blockores:18883, Small Powellite Ore
gregtech:gt.blockores:19883, Small Powellite Ore
gregtech:gt.blockores:20883, Small Powellite Ore
gregtech:gt.blockores:21883, Small Powellite Ore
gregtech:gt.blockores:22883, Small Powellite Ore
gregtech:gt.blockores:884, Desh Ore
gregtech:gt.blockores:1884, Desh Ore
gregtech:gt.blockores:2884, Desh Ore
gregtech:gt.blockores:3884, Desh Ore
gregtech:gt.blockores:4884, Desh Ore
gregtech:gt.blockores:5884, Desh Ore
gregtech:gt.blockores:6884, Desh Ore
gregtech:gt.blockores:16884, Small Desh Ore
gregtech:gt.blockores:17884, Small Desh Ore
gregtech:gt.blockores:18884, Small Desh Ore
gregtech:gt.blockores:19884, Small Desh Ore
gregtech:gt.blockores:20884, Small Desh Ore
gregtech:gt.blockores:21884, Small Desh Ore
gregtech:gt.blockores:22884, Small Desh Ore
gregtech:gt.blockores:902, Talc
gregtech:gt.blockores:1902, Talc
gregtech:gt.blockores:2902, Talc
gregtech:gt.blockores:3902, Talc
gregtech:gt.blockores:4902, Talc
gregtech:gt.blockores:5902, Talc
gregtech:gt.blockores:6902, Talc
gregtech:gt.blockores:16902, Small Talc
gregtech:gt.blockores:17902, Small Talc
gregtech:gt.blockores:18902, Small Talc
gregtech:gt.blockores:19902, Small Talc
gregtech:gt.blockores:20902, Small Talc
gregtech:gt.blockores:21902, Small Talc
gregtech:gt.blockores:22902, Small Talc
gregtech:gt.blockores:904, Barite Ore
gregtech:gt.blockores:1904, Barite Ore
gregtech:gt.blockores:2904, Barite Ore
gregtech:gt.blockores:3904, Barite Ore
gregtech:gt.blockores:4904, Barite Ore
gregtech:gt.blockores:5904, Barite Ore
gregtech:gt.blockores:6904, Barite Ore
gregtech:gt.blockores:16904, Small Barite Ore
gregtech:gt.blockores:17904, Small Barite Ore
gregtech:gt.blockores:18904, Small Barite Ore
gregtech:gt.blockores:19904, Small Barite Ore
gregtech:gt.blockores:20904, Small Barite Ore
gregtech:gt.blockores:21904, Small Barite Ore
gregtech:gt.blockores:22904, Small Barite Ore
gregtech:gt.blockores:905, Bastnasite Ore
gregtech:gt.blockores:1905, Bastnasite Ore
gregtech:gt.blockores:2905, Bastnasite Ore
gregtech:gt.blockores:3905, Bastnasite Ore
gregtech:gt.blockores:4905, Bastnasite Ore
gregtech:gt.blockores:5905, Bastnasite Ore
gregtech:gt.blockores:6905, Bastnasite Ore
gregtech:gt.blockores:16905, Small Bastnasite Ore
gregtech:gt.blockores:17905, Small Bastnasite Ore
gregtech:gt.blockores:18905, Small Bastnasite Ore
gregtech:gt.blockores:19905, Small Bastnasite Ore
gregtech:gt.blockores:20905, Small Bastnasite Ore
gregtech:gt.blockores:21905, Small Bastnasite Ore
gregtech:gt.blockores:22905, Small Bastnasite Ore
gregtech:gt.blockores:906, Garnierite Ore
gregtech:gt.blockores:1906, Garnierite Ore
gregtech:gt.blockores:2906, Garnierite Ore
gregtech:gt.blockores:3906, Garnierite Ore
gregtech:gt.blockores:4906, Garnierite Ore
gregtech:gt.blockores:5906, Garnierite Ore
gregtech:gt.blockores:6906, Garnierite Ore
gregtech:gt.blockores:16906, Small Garnierite Ore
gregtech:gt.blockores:17906, Small Garnierite Ore
gregtech:gt.blockores:18906, Small Garnierite Ore
gregtech:gt.blockores:19906, Small Garnierite Ore
gregtech:gt.blockores:20906, Small Garnierite Ore
gregtech:gt.blockores:21906, Small Garnierite Ore
gregtech:gt.blockores:22906, Small Garnierite Ore
gregtech:gt.blockores:907, Lepidolite Ore
gregtech:gt.blockores:1907, Lepidolite Ore
gregtech:gt.blockores:2907, Lepidolite Ore
gregtech:gt.blockores:3907, Lepidolite Ore
gregtech:gt.blockores:4907, Lepidolite Ore
gregtech:gt.blockores:5907, Lepidolite Ore
gregtech:gt.blockores:6907, Lepidolite Ore
gregtech:gt.blockores:16907, Small Lepidolite Ore
gregtech:gt.blockores:17907, Small Lepidolite Ore
gregtech:gt.blockores:18907, Small Lepidolite Ore
gregtech:gt.blockores:19907, Small Lepidolite Ore
gregtech:gt.blockores:20907, Small Lepidolite Ore
gregtech:gt.blockores:21907, Small Lepidolite Ore
gregtech:gt.blockores:22907, Small Lepidolite Ore
gregtech:gt.blockores:908, Magnesite Ore
gregtech:gt.blockores:1908, Magnesite Ore
gregtech:gt.blockores:2908, Magnesite Ore
gregtech:gt.blockores:3908, Magnesite Ore
gregtech:gt.blockores:4908, Magnesite Ore
gregtech:gt.blockores:5908, Magnesite Ore
gregtech:gt.blockores:6908, Magnesite Ore
gregtech:gt.blockores:16908, Small Magnesite Ore
gregtech:gt.blockores:17908, Small Magnesite Ore
gregtech:gt.blockores:18908, Small Magnesite Ore
gregtech:gt.blockores:19908, Small Magnesite Ore
gregtech:gt.blockores:20908, Small Magnesite Ore
gregtech:gt.blockores:21908, Small Magnesite Ore
gregtech:gt.blockores:22908, Small Magnesite Ore
gregtech:gt.blockores:909, Pentlandite Ore
gregtech:gt.blockores:1909, Pentlandite Ore
gregtech:gt.blockores:2909, Pentlandite Ore
gregtech:gt.blockores:3909, Pentlandite Ore
gregtech:gt.blockores:4909, Pentlandite Ore
gregtech:gt.blockores:5909, Pentlandite Ore
gregtech:gt.blockores:6909, Pentlandite Ore
gregtech:gt.blockores:16909, Small Pentlandite Ore
gregtech:gt.blockores:17909, Small Pentlandite Ore
gregtech:gt.blockores:18909, Small Pentlandite Ore
gregtech:gt.blockores:19909, Small Pentlandite Ore
gregtech:gt.blockores:20909, Small Pentlandite Ore
gregtech:gt.blockores:21909, Small Pentlandite Ore
gregtech:gt.blockores:22909, Small Pentlandite Ore
gregtech:gt.blockores:910, Scheelite Ore
gregtech:gt.blockores:1910, Scheelite Ore
gregtech:gt.blockores:2910, Scheelite Ore
gregtech:gt.blockores:3910, Scheelite Ore
gregtech:gt.blockores:4910, Scheelite Ore
gregtech:gt.blockores:5910, Scheelite Ore
gregtech:gt.blockores:6910, Scheelite Ore
gregtech:gt.blockores:16910, Small Scheelite Ore
gregtech:gt.blockores:17910, Small Scheelite Ore
gregtech:gt.blockores:18910, Small Scheelite Ore
gregtech:gt.blockores:19910, Small Scheelite Ore
gregtech:gt.blockores:20910, Small Scheelite Ore
gregtech:gt.blockores:21910, Small Scheelite Ore
gregtech:gt.blockores:22910, Small Scheelite Ore
gregtech:gt.blockores:917, Banded Iron Ore
gregtech:gt.blockores:1917, Banded Iron Ore
gregtech:gt.blockores:2917, Banded Iron Ore
gregtech:gt.blockores:3917, Banded Iron Ore
gregtech:gt.blockores:4917, Banded Iron Ore
gregtech:gt.blockores:5917, Banded Iron Ore
gregtech:gt.blockores:6917, Banded Iron Ore
gregtech:gt.blockores:16917, Small Banded Iron Ore
gregtech:gt.blockores:17917, Small Banded Iron Ore
gregtech:gt.blockores:18917, Small Banded Iron Ore
gregtech:gt.blockores:19917, Small Banded Iron Ore
gregtech:gt.blockores:20917, Small Banded Iron Ore
gregtech:gt.blockores:21917, Small Banded Iron Ore
gregtech:gt.blockores:22917, Small Banded Iron Ore
gregtech:gt.blockores:918, Ilmenite Ore
gregtech:gt.blockores:1918, Ilmenite Ore
gregtech:gt.blockores:2918, Ilmenite Ore
gregtech:gt.blockores:3918, Ilmenite Ore
gregtech:gt.blockores:4918, Ilmenite Ore
gregtech:gt.blockores:5918, Ilmenite Ore
gregtech:gt.blockores:6918, Ilmenite Ore
gregtech:gt.blockores:16918, Small Ilmenite Ore
gregtech:gt.blockores:17918, Small Ilmenite Ore
gregtech:gt.blockores:18918, Small Ilmenite Ore
gregtech:gt.blockores:19918, Small Ilmenite Ore
gregtech:gt.blockores:20918, Small Ilmenite Ore
gregtech:gt.blockores:21918, Small Ilmenite Ore
gregtech:gt.blockores:22918, Small Ilmenite Ore
gregtech:gt.blockores:920, Spodumene Ore
gregtech:gt.blockores:1920, Spodumene Ore
gregtech:gt.blockores:2920, Spodumene Ore
gregtech:gt.blockores:3920, Spodumene Ore
gregtech:gt.blockores:4920, Spodumene Ore
gregtech:gt.blockores:5920, Spodumene Ore
gregtech:gt.blockores:6920, Spodumene Ore
gregtech:gt.blockores:16920, Small Spodumene Ore
gregtech:gt.blockores:17920, Small Spodumene Ore
gregtech:gt.blockores:18920, Small Spodumene Ore
gregtech:gt.blockores:19920, Small Spodumene Ore
gregtech:gt.blockores:20920, Small Spodumene Ore
gregtech:gt.blockores:21920, Small Spodumene Ore
gregtech:gt.blockores:22920, Small Spodumene Ore
gregtech:gt.blockores:921, Tantalite Ore
gregtech:gt.blockores:1921, Tantalite Ore
gregtech:gt.blockores:2921, Tantalite Ore
gregtech:gt.blockores:3921, Tantalite Ore
gregtech:gt.blockores:4921, Tantalite Ore
gregtech:gt.blockores:5921, Tantalite Ore
gregtech:gt.blockores:6921, Tantalite Ore
gregtech:gt.blockores:16921, Small Tantalite Ore
gregtech:gt.blockores:17921, Small Tantalite Ore
gregtech:gt.blockores:18921, Small Tantalite Ore
gregtech:gt.blockores:19921, Small Tantalite Ore
gregtech:gt.blockores:20921, Small Tantalite Ore
gregtech:gt.blockores:21921, Small Tantalite Ore
gregtech:gt.blockores:22921, Small Tantalite Ore
gregtech:gt.blockores:922, Uraninite Ore
gregtech:gt.blockores:1922, Uraninite Ore
gregtech:gt.blockores:2922, Uraninite Ore
gregtech:gt.blockores:3922, Uraninite Ore
gregtech:gt.blockores:4922, Uraninite Ore
gregtech:gt.blockores:5922, Uraninite Ore
gregtech:gt.blockores:6922, Uraninite Ore
gregtech:gt.blockores:16922, Small Uraninite Ore
gregtech:gt.blockores:17922, Small Uraninite Ore
gregtech:gt.blockores:18922, Small Uraninite Ore
gregtech:gt.blockores:19922, Small Uraninite Ore
gregtech:gt.blockores:20922, Small Uraninite Ore
gregtech:gt.blockores:21922, Small Uraninite Ore
gregtech:gt.blockores:22922, Small Uraninite Ore
gregtech:gt.blockores:923, Vanadium Magnetite Ore
gregtech:gt.blockores:1923, Vanadium Magnetite Ore
gregtech:gt.blockores:2923, Vanadium Magnetite Ore
gregtech:gt.blockores:3923, Vanadium Magnetite Ore
gregtech:gt.blockores:4923, Vanadium Magnetite Ore
gregtech:gt.blockores:5923, Vanadium Magnetite Ore
gregtech:gt.blockores:6923, Vanadium Magnetite Ore
gregtech:gt.blockores:16923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:17923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:18923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:19923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:20923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:21923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:22923, Small Vanadium Magnetite Ore
gregtech:gt.blockores:927, Bentonite
gregtech:gt.blockores:1927, Bentonite
gregtech:gt.blockores:2927, Bentonite
gregtech:gt.blockores:3927, Bentonite
gregtech:gt.blockores:4927, Bentonite
gregtech:gt.blockores:5927, Bentonite
gregtech:gt.blockores:6927, Bentonite
gregtech:gt.blockores:16927, Small Bentonite
gregtech:gt.blockores:17927, Small Bentonite
gregtech:gt.blockores:18927, Small Bentonite
gregtech:gt.blockores:19927, Small Bentonite
gregtech:gt.blockores:20927, Small Bentonite
gregtech:gt.blockores:21927, Small Bentonite
gregtech:gt.blockores:22927, Small Bentonite
gregtech:gt.blockores:930, Brown Limonite Ore
gregtech:gt.blockores:1930, Brown Limonite Ore
gregtech:gt.blockores:2930, Brown Limonite Ore
gregtech:gt.blockores:3930, Brown Limonite Ore
gregtech:gt.blockores:4930, Brown Limonite Ore
gregtech:gt.blockores:5930, Brown Limonite Ore
gregtech:gt.blockores:6930, Brown Limonite Ore
gregtech:gt.blockores:16930, Small Brown Limonite Ore
gregtech:gt.blockores:17930, Small Brown Limonite Ore
gregtech:gt.blockores:18930, Small Brown Limonite Ore
gregtech:gt.blockores:19930, Small Brown Limonite Ore
gregtech:gt.blockores:20930, Small Brown Limonite Ore
gregtech:gt.blockores:21930, Small Brown Limonite Ore
gregtech:gt.blockores:22930, Small Brown Limonite Ore
gregtech:gt.blockores:931, Yellow Limonite Ore
gregtech:gt.blockores:1931, Yellow Limonite Ore
gregtech:gt.blockores:2931, Yellow Limonite Ore
gregtech:gt.blockores:3931, Yellow Limonite Ore
gregtech:gt.blockores:4931, Yellow Limonite Ore
gregtech:gt.blockores:5931, Yellow Limonite Ore
gregtech:gt.blockores:6931, Yellow Limonite Ore
gregtech:gt.blockores:16931, Small Yellow Limonite Ore
gregtech:gt.blockores:17931, Small Yellow Limonite Ore
gregtech:gt.blockores:18931, Small Yellow Limonite Ore
gregtech:gt.blockores:19931, Small Yellow Limonite Ore
gregtech:gt.blockores:20931, Small Yellow Limonite Ore
gregtech:gt.blockores:21931, Small Yellow Limonite Ore
gregtech:gt.blockores:22931, Small Yellow Limonite Ore
gregtech:gt.blockores:933, Glauconite Ore
gregtech:gt.blockores:1933, Glauconite Ore
gregtech:gt.blockores:2933, Glauconite Ore
gregtech:gt.blockores:3933, Glauconite Ore
gregtech:gt.blockores:4933, Glauconite Ore
gregtech:gt.blockores:5933, Glauconite Ore
gregtech:gt.blockores:6933, Glauconite Ore
gregtech:gt.blockores:16933, Small Glauconite Ore
gregtech:gt.blockores:17933, Small Glauconite Ore
gregtech:gt.blockores:18933, Small Glauconite Ore
gregtech:gt.blockores:19933, Small Glauconite Ore
gregtech:gt.blockores:20933, Small Glauconite Ore
gregtech:gt.blockores:21933, Small Glauconite Ore
gregtech:gt.blockores:22933, Small Glauconite Ore
gregtech:gt.blockores:937, Cassiterite Sand
gregtech:gt.blockores:1937, Cassiterite Sand
gregtech:gt.blockores:2937, Cassiterite Sand
gregtech:gt.blockores:3937, Cassiterite Sand
gregtech:gt.blockores:4937, Cassiterite Sand
gregtech:gt.blockores:5937, Cassiterite Sand
gregtech:gt.blockores:6937, Cassiterite Sand
gregtech:gt.blockores:16937, Small Cassiterite Sand
gregtech:gt.blockores:17937, Small Cassiterite Sand
gregtech:gt.blockores:18937, Small Cassiterite Sand
gregtech:gt.blockores:19937, Small Cassiterite Sand
gregtech:gt.blockores:20937, Small Cassiterite Sand
gregtech:gt.blockores:21937, Small Cassiterite Sand
gregtech:gt.blockores:22937, Small Cassiterite Sand
gregtech:gt.blockores:942, Molybdenite Ore
gregtech:gt.blockores:1942, Molybdenite Ore
gregtech:gt.blockores:2942, Molybdenite Ore
gregtech:gt.blockores:3942, Molybdenite Ore
gregtech:gt.blockores:4942, Molybdenite Ore
gregtech:gt.blockores:5942, Molybdenite Ore
gregtech:gt.blockores:6942, Molybdenite Ore
gregtech:gt.blockores:16942, Small Molybdenite Ore
gregtech:gt.blockores:17942, Small Molybdenite Ore
gregtech:gt.blockores:18942, Small Molybdenite Ore
gregtech:gt.blockores:19942, Small Molybdenite Ore
gregtech:gt.blockores:20942, Small Molybdenite Ore
gregtech:gt.blockores:21942, Small Molybdenite Ore
gregtech:gt.blockores:22942, Small Molybdenite Ore
gregtech:gt.blockores:943, Pyrolusite Ore
gregtech:gt.blockores:1943, Pyrolusite Ore
gregtech:gt.blockores:2943, Pyrolusite Ore
gregtech:gt.blockores:3943, Pyrolusite Ore
gregtech:gt.blockores:4943, Pyrolusite Ore
gregtech:gt.blockores:5943, Pyrolusite Ore
gregtech:gt.blockores:6943, Pyrolusite Ore
gregtech:gt.blockores:16943, Small Pyrolusite Ore
gregtech:gt.blockores:17943, Small Pyrolusite Ore
gregtech:gt.blockores:18943, Small Pyrolusite Ore
gregtech:gt.blockores:19943, Small Pyrolusite Ore
gregtech:gt.blockores:20943, Small Pyrolusite Ore
gregtech:gt.blockores:21943, Small Pyrolusite Ore
gregtech:gt.blockores:22943, Small Pyrolusite Ore
gregtech:gt.blockores:944, Rock Salt Ore
gregtech:gt.blockores:1944, Rock Salt Ore
gregtech:gt.blockores:2944, Rock Salt Ore
gregtech:gt.blockores:3944, Rock Salt Ore
gregtech:gt.blockores:4944, Rock Salt Ore
gregtech:gt.blockores:5944, Rock Salt Ore
gregtech:gt.blockores:6944, Rock Salt Ore
gregtech:gt.blockores:16944, Small Rock Salt Ore
gregtech:gt.blockores:17944, Small Rock Salt Ore
gregtech:gt.blockores:18944, Small Rock Salt Ore
gregtech:gt.blockores:19944, Small Rock Salt Ore
gregtech:gt.blockores:20944, Small Rock Salt Ore
gregtech:gt.blockores:21944, Small Rock Salt Ore
gregtech:gt.blockores:22944, Small Rock Salt Ore
gregtech:gt.blockores:945, Stibnite Ore
gregtech:gt.blockores:1945, Stibnite Ore
gregtech:gt.blockores:2945, Stibnite Ore
gregtech:gt.blockores:3945, Stibnite Ore
gregtech:gt.blockores:4945, Stibnite Ore
gregtech:gt.blockores:5945, Stibnite Ore
gregtech:gt.blockores:6945, Stibnite Ore
gregtech:gt.blockores:16945, Small Stibnite Ore
gregtech:gt.blockores:17945, Small Stibnite Ore
gregtech:gt.blockores:18945, Small Stibnite Ore
gregtech:gt.blockores:19945, Small Stibnite Ore
gregtech:gt.blockores:20945, Small Stibnite Ore
gregtech:gt.blockores:21945, Small Stibnite Ore
gregtech:gt.blockores:22945, Small Stibnite Ore
gregtech:gt.blockores:948, Diatomite Ore
gregtech:gt.blockores:1948, Diatomite Ore
gregtech:gt.blockores:2948, Diatomite Ore
gregtech:gt.blockores:3948, Diatomite Ore
gregtech:gt.blockores:4948, Diatomite Ore
gregtech:gt.blockores:5948, Diatomite Ore
gregtech:gt.blockores:6948, Diatomite Ore
gregtech:gt.blockores:16948, Small Diatomite Ore
gregtech:gt.blockores:17948, Small Diatomite Ore
gregtech:gt.blockores:18948, Small Diatomite Ore
gregtech:gt.blockores:19948, Small Diatomite Ore
gregtech:gt.blockores:20948, Small Diatomite Ore
gregtech:gt.blockores:21948, Small Diatomite Ore
gregtech:gt.blockores:22948, Small Diatomite Ore
gregtech:gt.blockores.gc:6, Lithium Ore
gregtech:gt.blockores.gc:1006, Lithium Ore
gregtech:gt.blockores.gc:2006, Lithium Ore
gregtech:gt.blockores.gc:3006, Lithium Ore
gregtech:gt.blockores.gc:16006, Small Lithium Ore
gregtech:gt.blockores.gc:17006, Small Lithium Ore
gregtech:gt.blockores.gc:18006, Small Lithium Ore
gregtech:gt.blockores.gc:19006, Small Lithium Ore
gregtech:gt.blockores.gc:8, Beryllium Ore
gregtech:gt.blockores.gc:1008, Beryllium Ore
gregtech:gt.blockores.gc:2008, Beryllium Ore
gregtech:gt.blockores.gc:3008, Beryllium Ore
gregtech:gt.blockores.gc:16008, Small Beryllium Ore
gregtech:gt.blockores.gc:17008, Small Beryllium Ore
gregtech:gt.blockores.gc:18008, Small Beryllium Ore
gregtech:gt.blockores.gc:19008, Small Beryllium Ore
gregtech:gt.blockores.gc:19, Aluminium Ore
gregtech:gt.blockores.gc:1019, Aluminium Ore
gregtech:gt.blockores.gc:2019, Aluminium Ore
gregtech:gt.blockores.gc:3019, Aluminium Ore
gregtech:gt.blockores.gc:16019, Small Aluminium Ore
gregtech:gt.blockores.gc:17019, Small Aluminium Ore
gregtech:gt.blockores.gc:18019, Small Aluminium Ore
gregtech:gt.blockores.gc:19019, Small Aluminium Ore
gregtech:gt.blockores.gc:22, Sulfur Ore
gregtech:gt.blockores.gc:1022, Sulfur Ore
gregtech:gt.blockores.gc:2022, Sulfur Ore
gregtech:gt.blockores.gc:3022, Sulfur Ore
gregtech:gt.blockores.gc:16022, Small Sulfur Ore
gregtech:gt.blockores.gc:17022, Small Sulfur Ore
gregtech:gt.blockores.gc:18022, Small Sulfur Ore
gregtech:gt.blockores.gc:19022, Small Sulfur Ore
gregtech:gt.blockores.gc:28, Titanium Ore
gregtech:gt.blockores.gc:1028, Titanium Ore
gregtech:gt.blockores.gc:2028, Titanium Ore
gregtech:gt.blockores.gc:3028, Titanium Ore
gregtech:gt.blockores.gc:16028, Small Titanium Ore
gregtech:gt.blockores.gc:17028, Small Titanium Ore
gregtech:gt.blockores.gc:18028, Small Titanium Ore
gregtech:gt.blockores.gc:19028, Small Titanium Ore
gregtech:gt.blockores.gc:30, Chrome Ore
gregtech:gt.blockores.gc:1030, Chrome Ore
gregtech:gt.blockores.gc:2030, Chrome Ore
gregtech:gt.blockores.gc:3030, Chrome Ore
gregtech:gt.blockores.gc:16030, Small Chrome Ore
gregtech:gt.blockores.gc:17030, Small Chrome Ore
gregtech:gt.blockores.gc:18030, Small Chrome Ore
gregtech:gt.blockores.gc:19030, Small Chrome Ore
gregtech:gt.blockores.gc:31, Manganese Ore
gregtech:gt.blockores.gc:1031, Manganese Ore
gregtech:gt.blockores.gc:2031, Manganese Ore
gregtech:gt.blockores.gc:3031, Manganese Ore
gregtech:gt.blockores.gc:16031, Small Manganese Ore
gregtech:gt.blockores.gc:17031, Small Manganese Ore
gregtech:gt.blockores.gc:18031, Small Manganese Ore
gregtech:gt.blockores.gc:19031, Small Manganese Ore
gregtech:gt.blockores.gc:32, Iron Ore
gregtech:gt.blockores.gc:1032, Iron Ore
gregtech:gt.blockores.gc:2032, Iron Ore
gregtech:gt.blockores.gc:3032, Iron Ore
gregtech:gt.blockores.gc:16032, Small Iron Ore
gregtech:gt.blockores.gc:17032, Small Iron Ore
gregtech:gt.blockores.gc:18032, Small Iron Ore
gregtech:gt.blockores.gc:19032, Small Iron Ore
gregtech:gt.blockores.gc:34, Nickel Ore
gregtech:gt.blockores.gc:1034, Nickel Ore
gregtech:gt.blockores.gc:2034, Nickel Ore
gregtech:gt.blockores.gc:3034, Nickel Ore
gregtech:gt.blockores.gc:16034, Small Nickel Ore
gregtech:gt.blockores.gc:17034, Small Nickel Ore
gregtech:gt.blockores.gc:18034, Small Nickel Ore
gregtech:gt.blockores.gc:19034, Small Nickel Ore
gregtech:gt.blockores.gc:35, Copper Ore
gregtech:gt.blockores.gc:1035, Copper Ore
gregtech:gt.blockores.gc:2035, Copper Ore
gregtech:gt.blockores.gc:3035, Copper Ore
gregtech:gt.blockores.gc:16035, Small Copper Ore
gregtech:gt.blockores.gc:17035, Small Copper Ore
gregtech:gt.blockores.gc:18035, Small Copper Ore
gregtech:gt.blockores.gc:19035, Small Copper Ore
gregtech:gt.blockores.gc:36, Zinc Ore
gregtech:gt.blockores.gc:1036, Zinc Ore
gregtech:gt.blockores.gc:2036, Zinc Ore
gregtech:gt.blockores.gc:3036, Zinc Ore
gregtech:gt.blockores.gc:16036, Small Zinc Ore
gregtech:gt.blockores.gc:17036, Small Zinc Ore
gregtech:gt.blockores.gc:18036, Small Zinc Ore
gregtech:gt.blockores.gc:19036, Small Zinc Ore
gregtech:gt.blockores.gc:48, Molybdenum Ore
gregtech:gt.blockores.gc:1048, Molybdenum Ore
gregtech:gt.blockores.gc:2048, Molybdenum Ore
gregtech:gt.blockores.gc:3048, Molybdenum Ore
gregtech:gt.blockores.gc:16048, Small Molybdenum Ore
gregtech:gt.blockores.gc:17048, Small Molybdenum Ore
gregtech:gt.blockores.gc:18048, Small Molybdenum Ore
gregtech:gt.blockores.gc:19048, Small Molybdenum Ore
gregtech:gt.blockores.gc:52, Palladium Ore
gregtech:gt.blockores.gc:1052, Palladium Ore
gregtech:gt.blockores.gc:2052, Palladium Ore
gregtech:gt.blockores.gc:3052, Palladium Ore
gregtech:gt.blockores.gc:16052, Small Palladium Ore
gregtech:gt.blockores.gc:17052, Small Palladium Ore
gregtech:gt.blockores.gc:18052, Small Palladium Ore
gregtech:gt.blockores.gc:19052, Small Palladium Ore
gregtech:gt.blockores.gc:54, Silver Ore
gregtech:gt.blockores.gc:1054, Silver Ore
gregtech:gt.blockores.gc:2054, Silver Ore
gregtech:gt.blockores.gc:3054, Silver Ore
gregtech:gt.blockores.gc:16054, Small Silver Ore
gregtech:gt.blockores.gc:17054, Small Silver Ore
gregtech:gt.blockores.gc:18054, Small Silver Ore
gregtech:gt.blockores.gc:19054, Small Silver Ore
gregtech:gt.blockores.gc:57, Tin Ore
gregtech:gt.blockores.gc:1057, Tin Ore
gregtech:gt.blockores.gc:2057, Tin Ore
gregtech:gt.blockores.gc:3057, Tin Ore
gregtech:gt.blockores.gc:16057, Small Tin Ore
gregtech:gt.blockores.gc:17057, Small Tin Ore
gregtech:gt.blockores.gc:18057, Small Tin Ore
gregtech:gt.blockores.gc:19057, Small Tin Ore
gregtech:gt.blockores.gc:67, Neodymium Ore
gregtech:gt.blockores.gc:1067, Neodymium Ore
